ticker,company_name,sector,market_cap,forward_pe,trailing_pe,price_to_book,profit_margins,operating_margins
CPAY,"Corpay, Inc.",Technology,25204709376,16.33156,25.80728,8.159967,0.26142,0.45485002
CTVA,"Corteva, Inc.",Basic Materials,41746178048,18.93309,63.270836,1.6922048,0.04177,-0.19990999
CSGP,"CoStar Group, Inc.",Real Estate,29970126848,64.69527,174.05954,3.9963377,0.06577,0.03422
COST,Costco Wholesale Corporation,Consumer Defensive,408902008832,46.011734,53.99531,17.279959,0.02895,0.03817
CTRA,Coterra Energy Inc.,Energy,21294307328,9.796648,17.524242,1.6327857,0.22549999,0.26087
CRWD,"CrowdStrike Holdings, Inc.",Technology,88520482816,81.83035,691.12506,37.72675,0.0484,0.01417
CCI,Crown Castle Inc.,Real Estate,37966483456,32.3811,30.978724,7.1753592,0.18626,0.36743
CSX,CSX Corporation,Industrials,62721863680,16.440304,17.300533,4.8508577,0.24971001,0.37717998
CMI,Cummins Inc.,Industrials,50141736960,16.537292,23.952328,4.861056,0.06132,0.11625
CVS,CVS Health Corporation,Healthcare,65091256320,7.6434975,13.128172,0.86824787,0.013660001,0.0159
DHR,Danaher Corporation,Healthcare,170976935936,28.531828,44.66415,3.3325827,0.16393,0.20335
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,21318410240,17.070013,20.773972,9.645924,0.091120005,0.098009996
DVA,DaVita Inc.,Healthcare,13261082624,14.196044,17.421682,34.54556,0.06534,0.16275999
DAY,Dayforce Inc,Technology,11051616256,31.55918,206.11765,4.3264604,0.03122,0.06205
DECK,Deckers Outdoor Corporation,Consumer Cyclical,31282409472,32.30159,36.315872,14.078422,0.18799,0.23266001
DE,Deere & Company,Industrials,117365579776,18.942163,16.807138,5.1124673,0.14698,0.19016
DELL,Dell Technologies Inc.,Technology,75703787520,11.544047,19.204247,,0.04325,0.06673
DAL,"Delta Air Lines, Inc.",Industrials,42459492352,7.7930136,12.345217,3.0913792,0.07712,0.08452
DVN,Devon Energy Corporation,Energy,25100146688,8.364253,7.075926,1.7609918,0.23429,0.32062
DXCM,"DexCom, Inc.",Healthcare,31601088512,40.099422,49.033333,15.967042,0.17218,0.15289
FANG,"Diamondback Energy, Inc.",Energy,52490862592,11.655901,10.379331,1.406035,0.35208,0.42224
DLR,"Digital Realty Trust, Inc.",Real Estate,59446325248,164.31775,142.9431,2.8398373,0.08209,0.10094
DFS,Discover Financial Services,Financial Services,46839345152,14.585825,12.722185,2.7103906,0.27306,0.34264
DG,Dollar General Corporation,Consumer Defensive,15201286144,11.592511,11.405941,2.249634,0.03568,0.05386
DLTR,"Dollar Tree, Inc.",Consumer Defensive,15194656768,11.631027,,2.10542,-0.0344,0.027520001
D,"Dominion Energy, Inc.",Utilities,45272338432,15.931503,19.887453,1.7290664,0.16946,0.35981
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,14416073728,23.734653,25.65888,,0.122609995,0.18064
DOV,Dover Corporation,Industrials,26198185984,20.385397,17.344233,4.59779,0.18378,0.17549999
DOW,Dow Inc.,Basic Materials,28178704384,12.550983,26.833334,1.5389026,0.02464,0.04146
DHI,"D.R. Horton, Inc.",Consumer Cyclical,46780076032,9.280475,10.168061,1.8665112,0.12925,0.16636999
DTE,DTE Energy Company,Utilities,24927711232,16.704647,16.30962,2.1504118,0.12332,0.17791
DUK,Duke Energy Corporation,Utilities,82555150336,16.876379,19.186714,1.713127,0.14534001,0.26147
DD,"DuPont de Nemours, Inc.",Basic Materials,31772938240,17.282064,59.390625,1.3120922,0.06553,0.16604
EMN,Eastman Chemical Company,Basic Materials,10698770432,10.588069,12.372655,1.8913935,0.09471,0.14976
ETN,Eaton Corporation plc,Industrials,135504199680,28.422514,36.514908,7.088148,0.15314001,0.19228001
EBAY,eBay Inc.,Consumer Cyclical,31010459648,12.393633,16.307304,5.7572255,0.19677,0.23098
ECL,Ecolab Inc.,Basic Materials,66921091072,31.593477,33.146564,10.074815,0.13045,0.14715
EIX,Edison International,Utilities,23867799552,10.8219595,18.026316,1.7026625,0.07632,0.21169001
EW,Edwards Lifesciences Corporation,Healthcare,41769635840,28.948305,27.34363,4.375927,0.65859,0.29113
EA,Electronic Arts Inc.,Communication Services,37080158208,16.62498,36.25128,5.022202,0.14118,0.21481001
ELV,"Elevance Health, Inc.",Healthcare,89260204032,10.919459,14.005459,2.039122,0.03688,0.043860003
EMR,Emerson Electric Co.,Industrials,68537360384,18.521967,42.67376,3.1714323,0.11251,0.17601
ENPH,"Enphase Energy, Inc.",Technology,9038320640,17.36231,145.42934,9.70232,0.04912,0.1325
ETR,Entergy Corporation,Utilities,33837873152,20.322126,19.152914,1.125469,0.1481,0.33657002
EOG,"EOG Resources, Inc.",Energy,76465070080,12.250419,10.96371,2.5960014,0.2992,0.35568002
EPAM,"EPAM Systems, Inc.",Technology,12860442624,19.963968,29.407263,3.6176662,0.09679,0.15467
EQT,EQT Corporation,Energy,31152873472,18.503685,69.613335,1.5309503,0.06797,-0.22052
EFX,Equifax Inc.,Industrials,32467986432,29.605,58.338535,6.6111407,0.100659996,0.17138
EQIX,"Equinix, Inc.",Real Estate,86482370560,69.216896,81.11312,6.3645916,0.12571,0.15682
EQR,Equity Residential,Real Estate,27480147968,42.45055,29.64768,2.4597423,0.3157,0.29834
ERIE,Erie Indemnity Company,Financial Services,20997269504,28.080769,37.634018,10.779132,0.1516,0.18504
ESS,"Essex Property Trust, Inc.",Real Estate,18970314752,46.657375,33.2757,3.3688939,0.31354,0.30375
EL,The Estée Lauder Companies Inc.,Consumer Defensive,26736680960,27.57906,133.0,5.2591443,0.01314,0.038680002
EG,"Everest Group, Ltd.",Financial Services,15311985664,5.553367,5.557167,0.99899614,0.16853,0.16320999
EVRG,"Evergy, Inc.",Utilities,14141224960,15.219619,16.61892,1.4105476,0.14769,0.34443
ES,Eversource Energy,Utilities,20742017024,11.822049,,1.3692766,-0.047259998,0.21024
EXC,Exelon Corporation,Utilities,38178516992,14.4406185,15.635801,1.4340982,0.106000006,0.19174999
EXPE,"Expedia Group, Inc.",Consumer Cyclical,23967332352,13.207955,24.283485,18.199007,0.07966,0.21181999
EXPD,"Expeditors International of Washington, Inc.",Industrials,15671712768,20.67445,21.82456,6.6496406,0.073860005,0.1005
EXR,Extra Space Storage Inc.,Real Estate,33095178240,32.650227,40.013332,2.2702858,0.24412,0.46028
XOM,Exxon Mobil Corporation,Energy,487942881280,13.527675,13.825654,1.8166645,0.09802,0.13274
FFIV,"F5, Inc.",Technology,15313729536,16.96703,27.357069,4.850094,0.20126,0.25844
FDS,FactSet Research Systems Inc.,Financial Services,17249916928,24.4144,32.53853,9.001351,0.24381,0.23386
