,Nominal comp. (wt%),,,,,,,,,,,,,,,,,,,,,,,,Ave. Erp,Test Temp,Test Solution,[Cl-],pH,Test Method,Scan Rate,Heat treatment,Microstructures,Comments,Material class,Reference,,
No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,VSCE,oC,,M,pH,,mV/s,,,,,,,
20,75.16,24.05,0.00,0.00,0.00,0.01,0.24,0.01,0.26,0.26,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.00,30.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polished to 600 grit for cyclic polarization. The specimens were polarized initially from –20 mV with respect to the corrosion potential (Ecorr) to a maximum potential of 0.8 VSCE. The reverse polarization sweep was triggered at 0.5 x 10–3 A/cm2. The final potential was set to Ecorr with a sweep rate of 20 mV/min. The electrochemical vessels were deaerated systematically for 60 min prior to polarization. On the occasions when crevice corrosion occurred, the associated results were rejected, and no further reference is made to them in this work.",0.33,"Samples were manufactured in 30-kg ingots, which subsequently were surfaceground and hot-rolled to 6 mm. After annealing at 1,100°C, the metal was cold-rolled to 2-mm thickness and subsequently annealed at 1,050°C.",NA,NA,Fe Alloy,52,,
21,78.17,19.03,0.00,2.03,0.00,0.01,0.23,0.00,0.26,0.26,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,30.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polished to 600 grit for cyclic polarization. The specimens were polarized initially from –20 mV with respect to the corrosion potential (Ecorr) to a maximum potential of 0.8 VSCE. The reverse polarization sweep was triggered at 0.5 x 10–3 A/cm2. The final potential was set to Ecorr with a sweep rate of 20 mV/min. The electrochemical vessels were deaerated systematically for 60 min prior to polarization. On the occasions when crevice corrosion occurred, the associated results were rejected, and no further reference is made to them in this work.",0.33,"Samples were manufactured in 30-kg ingots, which subsequently were surfaceground and hot-rolled to 6 mm. After annealing at 1,100°C, the metal was cold-rolled to 2-mm thickness and subsequently annealed at 1,050°C.",NA,NA,Fe Alloy,52,,
22,78.14,19.03,0.00,2.04,0.00,0.01,0.24,0.01,0.26,0.27,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,30.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polished to 600 grit for cyclic polarization. The specimens were polarized initially from –20 mV with respect to the corrosion potential (Ecorr) to a maximum potential of 0.8 VSCE. The reverse polarization sweep was triggered at 0.5 x 10–3 A/cm2. The final potential was set to Ecorr with a sweep rate of 20 mV/min. The electrochemical vessels were deaerated systematically for 60 min prior to polarization. On the occasions when crevice corrosion occurred, the associated results were rejected, and no further reference is made to them in this work.",0.33,"Samples were manufactured in 30-kg ingots, which subsequently were surfaceground and hot-rolled to 6 mm. After annealing at 1,100°C, the metal was cold-rolled to 2-mm thickness and subsequently annealed at 1,050°C.",NA,NA,Fe Alloy,52,,
23,71.10,17.30,8.83,0.02,0.00,0.04,0.00,0.06,1.01,1.53,0.09,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.00,25.00,3.5% NaCl,0.60,7.00,"Before polarization, the mounted electrodes were painted at the Teflon/steel interface with an alkyd varnish to avoid interference from crevice corrosion. Potentiodynamic polarization was performed at a rate of 1.5V per hour.",0.03,"Experimental alloys were made in a 500 Ib (227 kg) vacuum furnace. The ingots were hot rolled down to a 0.5-in. thick (1.27-cm) plate and then cold rolled to a 0.25-in.-thick (0.64-cm)plate. The cold-rolled plate was solution annealed at 2000 F
(1092 C) for 60 min and quenched in flowing water.",NA,"Each specimen was polished to a 600 grit SiC finish. Specimens were then degreased in an ultrasonic cleaner, pickled in 25 vol% HNO 3/4 vol% HF at 140 F (60 C) for 5 min, washed in distilled water (7.6 megohm-cm at 25 C), and hot air dried.",Fe Alloy,72,,
24,70.36,17.10,8.87,0.02,0.00,0.04,0.00,0.05,1.95,1.49,0.09,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,25.00,3.5% NaCl,0.60,7.00,"Before polarization, the mounted electrodes were painted at the Teflon/steel interface with an alkyd varnish to avoid interference from crevice corrosion. Potentiodynamic polarization was performed at a rate of 1.5V per hour.",0.03,"Experimental alloys were made in a 500 Ib (227 kg) vacuum furnace. The ingots were hot rolled down to a 0.5-in. thick (1.27-cm) plate and then cold rolled to a 0.25-in.-thick (0.64-cm)plate. The cold-rolled plate was solution annealed at 2000 F
(1092 C) for 60 min and quenched in flowing water.",NA,"Each specimen was polished to a 600 grit SiC finish. Specimens were then degreased in an ultrasonic cleaner, pickled in 25 vol% HNO 3/4 vol% HF at 140 F (60 C) for 5 min, washed in distilled water (7.6 megohm-cm at 25 C), and hot air dried.",Fe Alloy,72,,
25,69.28,17.20,8.94,0.02,0.00,0.04,0.00,0.06,2.85,1.49,0.09,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,25.00,3.5% NaCl,0.60,7.00,"Before polarization, the mounted electrodes were painted at the Teflon/steel interface with an alkyd varnish to avoid interference from crevice corrosion. Potentiodynamic polarization was performed at a rate of 1.5V per hour.",0.03,"Experimental alloys were made in a 500 Ib (227 kg) vacuum furnace. The ingots were hot rolled down to a 0.5-in. thick (1.27-cm) plate and then cold rolled to a 0.25-in.-thick (0.64-cm)plate. The cold-rolled plate was solution annealed at 2000 F
(1092 C) for 60 min and quenched in flowing water.",NA,"Each specimen was polished to a 600 grit SiC finish. Specimens were then degreased in an ultrasonic cleaner, pickled in 25 vol% HNO 3/4 vol% HF at 140 F (60 C) for 5 min, washed in distilled water (7.6 megohm-cm at 25 C), and hot air dried.",Fe Alloy,72,,
26,67.75,17.00,9.07,0.02,0.00,0.03,0.00,0.06,4.45,1.49,0.09,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,25.00,3.5% NaCl,0.60,7.00,"Before polarization, the mounted electrodes were painted at the Teflon/steel interface with an alkyd varnish to avoid interference from crevice corrosion. Potentiodynamic polarization was performed at a rate of 1.5V per hour.",0.03,"Experimental alloys were made in a 500 Ib (227 kg) vacuum furnace. The ingots were hot rolled down to a 0.5-in. thick (1.27-cm) plate and then cold rolled to a 0.25-in.-thick (0.64-cm)plate. The cold-rolled plate was solution annealed at 2000 F
(1092 C) for 60 min and quenched in flowing water.",NA,"Each specimen was polished to a 600 grit SiC finish. Specimens were then degreased in an ultrasonic cleaner, pickled in 25 vol% HNO 3/4 vol% HF at 140 F (60 C) for 5 min, washed in distilled water (7.6 megohm-cm at 25 C), and hot air dried.",Fe Alloy,72,,
27,70.66,18.45,9.81,0.00,0.00,0.00,0.00,0.08,0.41,0.47,0.00,0.03,0.01,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-110.00,25.00,3.5% NaCl,0.60,7.00,"Before polarization, the mounted electrodes were painted at the Teflon/steel interface with an alkyd varnish to avoid interference from crevice corrosion. Potentiodynamic polarization was performed at a rate of 1.5V per hour.",0.03,"Experimental alloys were made in a 500 Ib (227 kg) vacuum furnace. The ingots were hot rolled down to a 0.5-in. thick (1.27-cm) plate and then cold rolled to a 0.25-in.-thick (0.64-cm)plate. The cold-rolled plate was solution annealed at 2000 F
(1092 C) for 60 min and quenched in flowing water.",NA,"Each specimen was polished to a 600 grit SiC finish. Specimens were then degreased in an ultrasonic cleaner, pickled in 25 vol% HNO 3/4 vol% HF at 140 F (60 C) for 5 min, washed in distilled water (7.6 megohm-cm at 25 C), and hot air dried.",Fe Alloy,72,,
28,71.49,16.62,8.46,0.21,0.00,NA,0.00,0.05,0.56,1.78,0.21,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,80.00,0.0007 M Cl- solution,0.00,7.00,"Cyclic Polarization. The potential was changed in steps of 10 mV every hour for the positive polarization direction until the onset of pitting or appearance of pits, and every 100 s for the reverse scan until zero current.",0.17,NA,NA,"Samples were gradually ground to a 4/0 finish using emery paper and an electrical connection was made. Degreased in acetone first, then in methanol, they were fixed on the base of an appropriate cell and their edges were masked with a silicon-base sealer to prevent crevice corrosion. ",Fe Alloy,36,,
29,47.64,18.50,31.79,0.20,0.00,NA,0.00,0.02,0.39,0.70,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,80.00,0.0007 M Cl- solution,0.00,7.00,"Cyclic Polarization. The potential was changed in steps of 10 mV every hour for the positive polarization direction until the onset of pitting or appearance of pits, and every 100 s for the reverse scan until zero current.",0.17,NA,NA,"Samples were gradually ground to a 4/0 finish using emery paper and an electrical connection was made. Degreased in acetone first, then in methanol, they were fixed on the base of an appropriate cell and their edges were masked with a silicon-base sealer to prevent crevice corrosion. ",Fe Alloy,36,,
