,"Composition, wt.%",,,,,,,,,,,,,,,,,,,,,,,,"Epit, mV (SCE)",,,Test Temp.,Test Solution,[Cl-],,,Scan Rate,Heat treatment,Microstructures,Comments,Reference,Material class,,,,
No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,Avg.,Max,Min,oC,,M,pH,Test Method,mV/s,,,,,,,,,
20.00,47.74,20.00,24.50,5.00,0.00,NA,0.00,0.02,NA,1.50,1.00,0.05,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,427.00,NA,NA,50,Seawater Natural,0.5460,8.20,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,N08904 (904L),49,Fe Alloy,,,,
21.00,84.61,13.00,NA,NA,0.00,NA,0.00,NA,1.00,1.00,NA,0.04,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,144.00,NA,NA,50,"300 ppm NaCl, pH 7.8",0.0051,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S41000 (410),49,Fe Alloy,,,,
22.00,84.61,13.00,NA,NA,0.00,NA,0.00,NA,1.00,1.00,NA,0.04,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.00,NA,NA,50,"500 ppm NaCl, pH 7.8",0.0086,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S41000 (410),49,Fe Alloy,,,,
23.00,84.61,13.00,NA,NA,0.00,NA,0.00,NA,1.00,1.00,NA,0.04,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-120.00,NA,NA,50,"1000 ppm NaCl, pH 7.8",0.0171,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S41000 (410),49,Fe Alloy,,,,
24.00,84.61,13.00,NA,NA,0.00,NA,0.00,NA,1.00,1.00,NA,0.04,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-43.00,NA,NA,50,"5000 ppm NaCl, pH 7.8",0.0856,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S41000 (410),49,Fe Alloy,,,,
25.00,84.61,13.00,NA,NA,0.00,NA,0.00,NA,1.00,1.00,NA,0.04,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-145.00,NA,NA,50,Seawater Natural,0.5460,8.20,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S41000 (410),49,Fe Alloy,,,,
26.00,73.09,16.00,4.50,NA,0.00,NA,0.30,0.07,1.00,1.00,4.00,0.04,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.00,NA,NA,50,"300 ppm NaCl, pH 7.8",0.0051,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S17400 (17-4PH),49,Fe Alloy,,,,
27.00,73.09,16.00,4.50,NA,0.00,NA,0.30,0.07,1.00,1.00,4.00,0.04,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263.00,NA,NA,50,"500 ppm NaCl, pH 7.8",0.0086,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S17400 (17-4PH),49,Fe Alloy,,,,
28.00,73.09,16.00,4.50,NA,0.00,NA,0.30,0.07,1.00,1.00,4.00,0.04,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,251.00,NA,NA,50,"1000 ppm NaCl, pH 7.8",0.0171,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S17400 (17-4PH),49,Fe Alloy,,,,
29.00,73.09,16.00,4.50,NA,0.00,NA,0.30,0.07,1.00,1.00,4.00,0.04,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.00,NA,NA,50,"5000 ppm NaCl, pH 7.8",0.0856,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S17400 (17-4PH),49,Fe Alloy,,,,
