,"Composition, wt.%",,,,,,,,,,,,,,"Ecrev, mV (SCE)",,,Test Temp.,Test Solution,[Cl-],pH,Test Method,Scan Rate,Heat treatment,Microstructures,Comments,Reference,,
No,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,Avg.,Max,Min,oC,,M,,,mV/s,,,,,Material class,
20,61.29,27.3,7.3,3.8,0.00,0.31,0.00,NA,NA,NA,NA,NA,NA,0.00,1000,NA,NA,40,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
21,61.29,27.3,7.3,3.8,0.00,0.31,0.00,NA,NA,NA,NA,NA,NA,0.00,990,NA,NA,60,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
22,61.29,27.3,7.3,3.8,0.00,0.31,0.00,NA,NA,NA,NA,NA,NA,0.00,450,NA,NA,80,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
23,64.80,28.4,2.6,4.2,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,1000,NA,NA,40,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
24,64.80,28.4,2.6,4.2,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,990,NA,NA,60,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
25,64.80,28.4,2.6,4.2,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,720,NA,NA,80,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
26,55.00,19.8,18.6,6.4,0.00,0.2,0.00,NA,NA,NA,NA,NA,NA,0.00,1000,NA,NA,40,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
27,55.00,19.8,18.6,6.4,0.00,0.2,0.00,NA,NA,NA,NA,NA,NA,0.00,990,NA,NA,60,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
28,55.00,19.8,18.6,6.4,0.00,0.2,0.00,NA,NA,NA,NA,NA,NA,0.00,350,NA,NA,80,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
29,64.56,25.2,7.1,3,0.00,0.14,0.00,NA,NA,NA,NA,NA,NA,0.00,990,NA,NA,40,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
30,64.56,25.2,7.1,3,0.00,0.14,0.00,NA,NA,NA,NA,NA,NA,0.00,710,NA,NA,60,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
31,64.56,25.2,7.1,3,0.00,0.14,0.00,NA,NA,NA,NA,NA,NA,0.00,200,NA,NA,80,synthetic sea water,0.5460,NA,Potentiodynamic Polarization - crevice corrosion potential measured by potential sweep method,0.33,NA,NA,estimated Cl conc,16,Fe Alloy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
