Ford,Clorox,Chubb,Hormel Food,Grainger,AT&T,AbbVie,Amcor,Ecolab,Pentair
0.005202505,-0.005580959,-0.009049285,-0.002019112,-0.004015477,-0.009965937,0.027890349,-0.003558728,-0.03670576,-0.014565095
0.0031472,0.002794267,0.00597988,0.009387724,-0.0044077,0.005257614,0.022278688,0.009756142,0.001713576,-0.012241391
0.02788714,0.01568933,0.003765674,0.009300346,0.018233601,0.0099141,0.01098827,0.01053567,0.012725206,0.023804268
-0.009209706,-0.001439952,-0.010167495,-0.008410936,-0.003040902,-0.005727843,-0.00744316,-0.004376427,0.068654696,-0.002479204
-0.003088633,0.006918982,-0.001736027,0.003328462,0.009154729,0.005208434,-0.0100775,0.009602927,0.034437996,0.00935333
-0.001548103,-0.006918982,-0.012712535,-0.004217872,-0.00384276,0.000519409,-0.010179981,-0.008726163,-0.012026888,-0.010417774
-0.001550261,0.006268437,0.001663242,0.017422386,0.010775989,0.009302332,0.011833633,0.000876088,0.002589345,0.008659631
-0.055015877,0.005128846,-0.008774838,-0.005700549,-0.03173773,-0.011901916,0.004549793,-0.030224473,-0.02632707,-0.037835038
0.000819312,0.000259176,0.00520742,-0.001540243,0.002298526,0.008810725,-0.008788628,0.005400561,0.006615726,-0.001463075
-0.011532251,-0.007734164,-0.006022032,-0.003308729,0.000364873,-0.001549159,0.009249018,0.014260511,-0.002767018,0.008746347
-0.015866768,0.004946284,0.011012872,-0.003541445,0.009318947,-0.005701016,0.0041999,-0.001771575,-0.001386481,0.005608356
0.015037949,0.006664815,0.003644193,-0.006674065,0.016309541,-0.010974675,0.010228288,0.004422882,0.00741345,0.002702556
0.000828819,0.002447746,-0.003122705,-0.009419212,-0.009810639,-0.00632585,-0.002466174,-0.005996347,-0.002444115,0.006456175
0.020500907,-0.00483681,-0.007229222,-0.012470385,0.00385247,-0.013308801,0.00886266,0.000897269,-0.005347634,-0.010422388
0.01849674,0.011505118,-0.005264423,-0.046704725,0.019904632,0,-0.005748423,0.005366771,0.021283268,0.002165327
0.041363581,-0.004162614,-0.006257513,-0.029107088,0.01894281,0.008006472,0.010823315,0.001782542,0.009037063,0.018041018
-0.007674645,-0.024687733,0.004624657,-0.00246427,0.002948652,-0.002128661,-0.005010478,-0.016158342,-0.014796882,-0.006215087
-0.011623427,-0.001053087,-0.006074284,-0.013663271,-0.00714335,-0.003201877,-0.015249881,-0.011834432,-0.019949019,-0.011825931
0.011623427,-0.004355109,-0.016725163,0.006233762,0.008214769,-0.005358935,-0.02201503,0.002743407,0.012092299,0.005213528
